問題文,選択肢A,選択肢B,選択肢C,選択肢D,解答
医療事務の主な業務として、正しいものを1つ選びなさい。,患者の診察,受付・会計業務、レセプト業務,手術の実施,薬の調剤,B
レセプトとは、何の明細書のことですか？,患者のカルテ,医療機関が保険者に請求する医療報酬,薬の処方箋,検査結果,B
カルテの保存義務は何年間ですか？,1年間,3年間,5年間,10年間,C
診療報酬の点数において、「1点」は何円として計算されますか？,1円,5円,10円,100円,C
薬価が15円以下の場合、診療報酬点数は何点になりますか？,0点,1点,2点,15点,B
薬剤料を計算する際に、小数点以下の端数処理に使われるのは何ですか？,四捨五入,切り捨て,切り上げ,五捨五超入,D
メモリーキーの「M+」は何をするためのキーですか？,計算結果をクリアする,計算結果を呼び出す,計算結果をプラスして保存する,計算結果をマイナスして保存する,C
健康保険法は、何に関する保険給付を行うことを目的としていますか？,労働災害,業務外の疾病、負傷、死亡、出産,高齢者の介護,失業,B
国民健康保険には、健康保険と異なり、どのような区分がないですか？,被保険者,被扶養者,保険料,保険者,B
公費負担医療制度で、医療費の全額が公費負担となる場合があるのは、どの制度ですか？,障害者医療,生活保護,新感染症,小児慢性特定疾患,C
保険医療機関は、患者に特定の保険薬局への誘導をすることが、療養担当規則でどう定められていますか？,積極的に推奨する,問題がない,禁止されている,患者の希望に応じて可,C
医療法における病院とは、何人以上の患者を入院させるための施設を持つものですか？,5人以上,10人以上,20人以上,30人以上,C
医療機関の管理者は、どのような医師でなければなりませんか？,研修医,指導医,臨床研修等修了医師,専門医,C
健康保険において、現物給付とは何を指しますか？,現金での給付,医療サービスそのもの,食事の提供,交通費の支給,B
健康保険の給付のうち、償還払いとはどういうものですか？,医療機関の窓口で一部負担金を支払うこと,一旦窓口で全額を支払い、後で自己負担分を除いた金額が返金される,保険者が医療機関へ直接支払うこと,医療機関から直接医療サービスを受けること,B
診療報酬において、基本診療料と特掲診療料の関係として正しいものはどれですか？,基本診療料は特掲診療料に含まれる,特掲診療料は基本診療料に追加して算定される,基本診療料と特掲診療料はどちらか一方しか算定できない,基本診療料と特掲診療料は同じ内容である,B
医療保険において、高額療養費制度とはどのような制度ですか？,医療費を全額補助する制度,医療費が高額になった場合に、超過分を払い戻す制度,入院時の食事療養費を補助する制度,保険外の診療費を補助する制度,B
保険診療の対象外となるものはどれですか？,業務上の怪我,インフルエンザの予防接種,美容整形手術,上記全て,D
レセプトの記載項目で、保険種別１として、社会保険・国民健康保険に該当するものはどれですか？,1,2,3,4,A
レセプトの記載項目で、本人外来に該当するものはどれですか？,2,4,6,8,A
医療事務の仕事で、医療機関の顔となるのはどのような業務ですか？,清掃業務,受付業務,診療補助,レセプト業務,B
健康保険証には、加入者の何が記載されていますか？,住所,趣味,名前と生年月日,職歴,C
レセプトを作成する上で、カルテをどのように活用する必要がありますか？,不要,参考程度,正しく読み取り、正確に作成する,カルテを見ずに作成する,C
カルテの記載は、医師にとって法律上の義務ですか？,任意である,努力目標である,義務である,推奨されている,C
