問題文,選択肢A,選択肢B,選択肢C,選択肢D,解答
初診料は、どのような場合に算定できるか？,同じ医療機関で2回目以降の受診の場合,患者が初めてその医療機関を受診した場合,前回の受診から3ヶ月以上経過した場合,紹介状なしで特定機能病院を受診した場合,B
6歳未満の患者の初診料の点数は？,一般の患者と同じ,一般の患者より低い,一般の患者より高い,算定できない,C
時間外加算が算定される時間帯は？,6時〜18時,8時〜18時,18時〜22時,おおむね午前８時前と１８時以降,D
夜間・早朝等加算が算定されるための要件は？,1週間当たりの診療時間の合計が20時間以上の診療所,6時~8時、18時~22時(土曜日は12時以降)の時間帯のいずれかが診療時間内であること,救急病院であること,入院設備があること,B
再診料は、どのような医療機関で算定できるか？,200床以上の病院,診療所または一般病床数が200床未満の病院,特定機能病院,地域医療支援病院,B
外来管理加算は、再診料に加えてどのような場合に算定できるか？,特別な検査や処置を行った場合,医師が患者に病気やけがに対する説明やアドバイス、計画的な医学管理を直接行った場合,手術を行った場合,リハビリテーションを行った場合,B
同日複数科再診料は、同じ日に何科まで算定可能か？,制限なし,2つ目の診療科のみ,3つ目以降の診療科,4つまで,B
入院料の種類として誤っているものは？,入院基本料,特定入院料,短期滞在手術等基本料,外来診療料,D
入院基本料は、何によって点数が設定されているか？,患者の年齢,病床種別や目的、規模,入院日数,紹介状の有無,B
入院時食事療養費は、何で設定されているか？,点数,円,ドル,ユーロ,B
初診料を算定する条件として正しいものは？,同じ医療機関で過去に治療した病気で受診,別の医療機関からの紹介状を持って受診,患者が当該医療機関において初めて診察を受ける場合,前回受診から1ヶ月経過,C
6歳未満の乳幼児に対して初診料を算定する場合、一般の初診料と比べて点数は？,同点数,低い点数,高い点数,算定不可,C
時間外加算が適用されるのは、医療機関の何時以降の診察か？,17時,18時,19時,20時,B
夜間・早朝等加算を算定するための診療所の要件で誤っているものは？,1週間の診療時間が30時間以上,土曜日は12時以降も診療時間内,夜間診療専門,6時～8時、18時～22時のいずれかが診療時間内,C
再診料は、初診から何回目の受診から算定できるか？,1回目,2回目,3回目,4回目,B
外来管理加算は、どのような行為に対して算定できないか？,診察のみ,医学管理,処置,投薬,C
同日に複数の診療科を受診した場合、同日複数科再診料は、何科まで算定可能か？,全ての診療科,最初の診療科のみ,2番目の診療科のみ,3番目の診療科まで,C
入院料の種類で、特定の機能がある病棟や病室、特定の疾患等に対する入院医療を評価するものは？,入院基本料,入院基本料等加算,特定入院料,短期滞在手術等基本料,C
入院基本料は、何種類の病棟に分類されているか？,5種類,7種類,9種類,11種類,C
入院時食事療養費は、誰が入院患者に食事を提供した場合に算定できるか？,医療機関,患者の家族,訪問介護サービス,ボランティア団体,A
時間外特例加算は、どのような医療機関に適用される特別な時間外加算か？,診療所,救急病院,特定機能病院,地域医療支援病院,B
再診料において、電話再診と外来管理加算は？,両方とも算定可能,電話再診は算定不可,外来管理加算は算定不可,両方とも算定不可,D
入院基本料等加算の算定ポイントとして、誤っているものは？,入院初日のみ算定可,入院中1回のみ算定可,毎日算定可,退院時のみ算定可,D
急性期一般入院基本料は、何に応じて点数を算定するか？,患者の年齢,病院の施設基準の届出,紹介状の有無,入院日数,B
救急医療管理加算は、緊急入院が必要と判断されたどのような患者に算定するか？,軽症患者,中等症患者,重症患者,慢性疾患患者,C
診療録管理体制加算は、どのような体制が整っている場合に算定できるか？,電子カルテシステム,研修医の指導体制,診療録の管理体制,栄養管理体制,C
地域加算は、何によって区分されるか？,医療機関の規模,医療機関の所在地,患者の住所,患者の年齢,B
療養環境加算は、どのような環境が整備されている場合に算定できるか？,個室,2人部屋,療養環境,感染対策,C
データ提出加算は、何を行っている場合に算定できるか？,DPCデータ,レセプトデータ,特定健診データ,データ提出,D
短期滞在手術等基本料は、何日までの短期入院での手術を対象とするか？,2泊3日,3泊4日,4泊5日,5泊6日,C
