問題,選択肢A,選択肢B,選択肢C,選択肢D,解答
医療事務の主な仕事は？,医師の診察,受付・会計業務、レセプト業務,看護師の補助,病院の清掃,B
医療機関の受付で求められる能力は？,高い運動能力,接遇マナー、正確かつスピーディな処理能力,外国語の会話能力,特別な資格,B
レセプトとは何か？,患者様への領収書,医療費の請求書,健康保険証,診察券,B
レセプトを作成する上で必要な知識は？,医療に関する法律の知識,診療報酬点数表に基づく医療費を算出する知識,コンピューターの操作スキル,語学力,B
カルテの正式名称は？,診療報告書,診療記録,診療明細書,診療計画書,B
医師がカルテに記載する義務は、医師法何条に定められている？,第14条,第24条,第34条,第44条,B
カルテの保存義務は何年間？,3年間,5年間,7年間,10年間,B
電子カルテの導入による利点は？,カルテの保管スペースが不要になる,手書きの必要がなくなる,作業の効率化が図れる,上記全て,D
レセプトに記載されている患者様の情報は？,住所,氏名、保険者番号、病名等,家族構成,銀行口座,B
診療報酬の価格は誰が定める？,病院の院長,厚生労働大臣,医師会,市区町村長,B
医療行為の価格はどのように示されている？,金額,点数,パーセント,時間,B
診療報酬の点数は通常何年に一度見直される？,毎年,2年に一度,5年に一度,10年に一度,B
日本の医療保険制度は？,国民一部保険制度,国民皆保険制度,国民 бесплатный保険制度,国民 ограниченный保険制度,B
被保険者が保険料を納める先は？,医療機関,審査支払機関,保険者,市区町村,C
医療機関の主な収入源は？,患者様の窓口での支払い,保険者からの医療費,国からの補助金,投資による収入,B
保険医療機関が患者様の病気やけがに関して照会があった場合、どのように対応しなければならないか？,無視する,適切に対応する,個人情報なので回答しない,有料で回答する,B
保険医療機関は、患者様に対して、特定の保険薬局で調剤を受けるように指示しては？,ならない,場合によっては良い,患者様が希望すれば良い,薬局と相談して決める,A
保険医療機関は、病院または診療所内のどこに、厚生労働大臣が定める事項を掲示しなければならないか？,受付の裏,院長の診察室,病院または診療所内の見やすい場所,掲示する必要はない,C
保険医は、自己の専門外である疾病または負傷であるという理由で、施術業者の施術を受けさせることに同意をしては？,ならない,患者様が希望すれば良い,緊急の場合は良い,医師の判断に任せる,A
病院とは、何人以上の患者を入院させるための施設を所有するもの？,5人,10人,20人,30人,C
診療所とは、何人以下の患者を入院させるための施設を所有するもの？,5人,10人,19人,30人,C
病院または医療法人を開設しようとする場合、誰の許可が必要？,市区町村長,都道府県知事,厚生労働大臣,医師会会長,B
初診料は、どのような場合に算定できるか？,同じ医療機関で2回目以降の受診の場合,患者が初めてその医療機関を受診した場合,前回の受診から3ヶ月以上経過した場合,紹介状なしで特定機能病院を受診した場合,B
