問題文,選択肢A,選択肢B,選択肢C,選択肢D,解答
1 在宅医療を受けられるのは、「通院困難である」と主治医が認めた人に期られる(第13回ビギナー版·間題1の4),〇,✕,-,-,A
2 通所介護中の利用者には訪問診療料は算定できないが、往診料は算定できる(第13回ビギナー版、問題1の5),〇,✕,-,-,B
3 在宅医療の対象となるのは、「通院困難な状態である」と主治医が判新した場合である(第12回ビギナー版·問題1の1),〇,✕,-,-,A
4 特別養護老人ホームでは、配置医師でも配置医師以外でも訪問診療料を算定できる場合がある(第12回ビギナー版·問題1の2),〇,✕,-,-,B
5 認知症対応型共同生活介護(認知症高齢者グループホーム)では、通院困難な患者であれば訪問診療を受けることができる(第11回ビギナー版·問題1の1),〇,✕,-,-,A
6 小規模多機能型居宅介護では、宿泊サービス利用日の日中に行った訪問看護は算定できない(第11回ビギナー版·問題1の8),〇,✕,-,-,A
7 バーキンソン病ヤールⅢ度や筋萎縮性側索硬化症は、「厚生労働大臣が定める疾病等」(別表第7)にも、「第2号被保険者が介護保険の給付対象となる特定疾病」にも共通している疾患である,〇,✕,-,-,A
8 気管切開している寝たきり状態の小児患者は、在宅医療の対象となる,〇,✕,-,-,A
9 短期入所療養介護事業所へは往診も訪問診療も可能である,〇,✕,-,-,B
10「厚生労働大臣が定める疾病等」(別表第7)や「厚生労働大臣が定める状感等」(別表第8)に該当すれば、1日2回以上の訪問看護を利用できる,〇,✕,-,-,A
11 小規模多機能型居宅介護では、退院日から宿泊サービスを利用した場合、自宅で訪問診療を行っていなくても退院日から訪問診療が可能となる,〇,✕,-,-,B
12 末期の悪性腫癌患者が小規模多機能型居宅介護(宿泊時)を利用する場合、サービス利用30日前に自宅で訪問診療を行っていれば、利用が30日を超えても訪問診療料と在宅時医学総合管理料を算定できる,〇,✕,-,-,A
13「厚生労働大臣が定める状態等」(別表第8)に該当する15歳未満の者は、毎日の訪問看護が必要であれば3カ所の訪問看護ステーションを利用できる,〇,✕,-,-,A
14 短期入所生活介護·療養介護は、配置医師以外であれば往診料を算定可能だが、訪問診療は算定できない,〇,✕,-,-,B
15 末期の悪性腫癌患者が退院日から短期入所生活介護を利用した場合、利用前30日以内に訪問診療料が未算定でも退院日を除き訪問診療料の算定が認められる,〇,✕,-,-,A
1 在宅医療を受けられるのは、「通院困難である」と主治医が認めた人に限られる,〇,✕,-,-,A
2 通所介護と看護小規模多機能型居宅介護の通所日は、往診料を算定できる,〇,✕,-,-,B
3 短期入所療養介護は、訪問診療料の算定はできないが、配置医師以外であれば往診科を算定できる,〇,✕,-,-,A
4 認知症対応型共同生活介護事業所(認知症高齢者グループホーム)やサービス付を高齢者向け住宅に居住する寝たきり患者は、訪問診療料も往診料も算定できる,〇,✕,-,-,A
5 小規模多機能型居宅介護は、退院日から宿泊サービスを利用する場合、利用開始前に自宅で訪問診療を行っていなくても退院日から訪問診療料を算定できる,〇,✕,-,-,B
1 認知症高齢者グループホームでは、在宅時医学総合管理料(在総管)や在宅がん医療総合診療料(がん医総)を算定できる,〇,✕,-,-,B
2 認知症を患い、介護者の助けを借りなければ通院できない者は、在宅医療の対象となる,〇,✕,-,-,A
3 医療機関と患家の距離が16kmを超える場合は、原則訪問診療料を算定できない,〇,✕,-,-,A
4 介護老人保健施設に入所している者は、併設医療機関の医師であれば往診料を算定できる,〇,✕,-,-,B
5 障害者施設で生活する通院困難な者は、在宅医療の対象となる,〇,✕,-,-,A
1 短期入所療養介護は、配置医師以外であれば往診が可能である,〇,✕,-,-,A
2 特別養護老人ホームは、末期の悪性腫瘍の入所者に限り訪問診療料を算定できる,〇,✕,-,-,B
3 認知症対応型共同生活介護で訪問診療を受けられるのは、「厚生労働大臣が定める疾病等」(別表第7)と特別訪問看護指示期間の利用者に限られる,〇,✕,-,-,B
4 小規模多機能型居宅介護の通所日は、訪問診療料も往診料も算定できない,〇,✕,-,-,A
5 気管切開している寝たきり状態の小児患者は、在宅医療の対象となる,〇,✕,-,-,A
1 年齢が30歳で末期の悪性腫瘍の患者は、独歩での通院が可能であっても在宅医療の対象となる,〇,✕,-,-,B
2 医療機関と患家の距離が16kmを超える範囲は原則、在宅医療は実施できない,〇,✕,-,-,A
3 特別養護老人ホームに入所する末期の悪性腫瘍の患者は、訪問診療や医療保険の訪問看護を利用できる,〇,✕,-,-,A
4 看護小規模多機能型居宅介護の通所日は訪問診療料を算定できないが、往診料は算定できる,〇,✕,-,-,B
5 特定施設に入居する通院できない患者は、訪問診療も往診も可能である,〇,✕,-,-,A
